Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
10013,"MEESTER, MANUELA",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,THOMAS WHITE,Filled,10/31/14,11/8/14,11/21/14,12/14/14,12/29/14,1/8/15,1/16/15,1/30/15
10014,"KNIAZ, MITTIE",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,CHARLES MOORE,Filled,11/23/14,12/4/14,12/9/14,12/30/14,1/9/15,1/12/15,1/15/15,1/30/15
10015,"LORBER, FRANKLYN",M,"$67,000.00",POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,CHARLES MOORE,Filled,12/3/14,12/7/14,12/13/14,12/31/14,1/5/15,1/11/15,1/15/15,1/30/15
10016,"PENGELLY, REED",M,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,MARGARET MARTIN,Filled,11/8/14,11/23/14,11/30/14,12/17/14,12/31/14,1/4/15,1/15/15,1/30/15
10017,"NIEMIETZ, SHAROLYN",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,CHARLES MOORE,Filled,10/27/14,11/8/14,11/21/14,12/9/14,12/17/14,12/29/14,1/14/15,1/30/15
10018,"PALINSKY, ANGELE",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,MARGARET MARTIN,Filled,10/27/14,11/2/14,11/10/14,12/3/14,12/16/14,12/30/14,1/13/15,1/30/15
10019,"BENKELMAN, CASSAUNDRA",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,JOSEPH JACKSON,Filled,10/30/14,11/11/14,11/27/14,12/12/14,12/26/14,1/8/15,1/12/15,1/30/15
10020,"GATTER, MARCY",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,MARGARET MARTIN,Filled,11/7/14,11/18/14,11/26/14,12/12/14,12/30/14,1/7/15,1/12/15,1/30/15
10021,"ROOFNER, GWENDOLYN",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,DOROTHY THOMPSON,Filled,10/30/14,11/12/14,11/26/14,12/12/14,12/28/14,1/4/15,1/12/15,1/30/15
10022,"ECKELBARGER, TESS",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,THOMAS WHITE,Filled,10/6/14,10/21/14,10/31/14,11/19/14,12/6/14,12/21/14,1/12/15,1/30/15
10023,"MACAN, LOIDA",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,DOROTHY THOMPSON,Filled,10/20/14,11/9/14,11/22/14,12/8/14,12/22/14,1/1/15,1/11/15,1/30/15
10024,"DEPRATO, BASILIA",F,"$39,062.00",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,DOROTHY THOMPSON,Filled,10/13/14,11/3/14,11/12/14,12/4/14,12/16/14,12/30/14,1/11/15,1/30/15
10025,"ITHIER, ADRIAN",M,"$65,500.00",POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,CHARLES MOORE,Filled,10/24/14,11/9/14,11/23/14,12/11/14,12/27/14,1/3/15,1/10/15,1/30/15
10026,"GOUSE, TAUNYA",F,"$36,000.00",HHS,Department of Health and Human Services,Juvenile Justice Services,Fulltime-Regular,Principal Administrative Aide,RICHARD THOMAS,Filled,12/7/14,12/15/14,12/17/14,1/5/15,1/18/15,1/21/15,1/25/15,1/29/15
10027,"DALLDORF, HARLEY",M,"$155,746.00",DOT,Department of Transportation,Parking Management,Fulltime-Regular,Manager II,BARBARA DAVIS,Filled,11/17/14,11/28/14,12/8/14,12/23/14,1/8/15,1/17/15,1/24/15,1/29/15
10028,"NOTHEIS, KATRICE",F,"$27,660.80",DLC,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/10/14,11/19/14,11/28/14,12/21/14,1/4/15,1/12/15,1/23/15,1/29/15
10029,"HOERNING, SHAMEKA",F,"$61,200.00",FIN,Department of Finance,Operations and Administration - Risk Management,Fulltime-Regular,Program Specialist I,MICHAEL GARCIA,Filled,11/19/14,12/4/14,12/9/14,12/27/14,1/9/15,1/15/15,1/22/15,1/29/15
10030,"GRANDELL, ALBINA",F,"$43,860.00",PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Procurement Specialist IV,THOMAS WHITE,Filled,10/22/14,10/29/14,11/11/14,12/3/14,12/16/14,1/4/15,1/22/15,1/29/15
10031,"MCCRANE, ABIGAIL",F,"$58,125.72",HHS,Department of Health and Human Services,Nurse Monitoring,Fulltime-Regular,Program Specialist II,RICHARD THOMAS,Filled,11/20/14,12/1/14,12/8/14,12/28/14,1/4/15,1/7/15,1/20/15,1/29/15
10032,"SPAEDER, THANH",M,"$88,842.00",MPB,Merit System Protection Board Department,Executive Secretary,Parttime-Regular,Manager II,SUSAN HERNANDEZ,Filled,10/31/14,11/15/14,11/25/14,12/16/14,12/27/14,1/11/15,1/19/15,1/29/15
10033,"REISCHE, BRETT",M,"$63,342.00",FRS,Fire and Rescue Services,Fleet,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,ELIZABETH RODRIGUEZ,Filled,11/17/14,11/24/14,12/8/14,12/27/14,1/7/15,1/13/15,1/18/15,1/29/15
10034,"RAULERSON, VEOLA",F,"$27,660.80",DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/2/14,11/18/14,11/28/14,12/17/14,1/1/15,1/10/15,1/18/15,1/29/15
10035,"SLEEZER, EZEKIEL",M,"$55,424.25",FRS,Fire and Rescue Services,Fleet,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,MICHAEL GARCIA,Filled,11/8/14,11/23/14,12/6/14,12/24/14,12/29/14,1/8/15,1/17/15,1/29/15
10036,"PLOEHN, JACQUES",M,"$27,660.80",DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/8/14,11/20/14,11/25/14,12/16/14,12/28/14,1/5/15,1/16/15,1/29/15
10037,"DIAZBARRIGA, WILEY",M,"$44,080.00",COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),MARY SMITH,Filled,11/7/14,11/21/14,12/2/14,12/19/14,1/2/15,1/9/15,1/15/15,1/29/15
10038,"POETKER, INELL",F,"$48,824.34",SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,THOMAS WHITE,Filled,11/4/14,11/10/14,11/21/14,12/10/14,12/20/14,1/1/15,1/10/15,1/29/15
10039,"KOSKINAS, ANNALISA",F,"$56,100.00",DPS,Department of Permitting Services,Director's Office,Fulltime-Regular,Administrative Specialist II,MICHAEL GARCIA,Filled,10/20/14,11/3/14,11/18/14,12/5/14,12/22/14,12/30/14,1/8/15,1/29/15
10040,"SUING, CHERRYL",F,"$65,722.13",HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,11/30/14,12/8/14,12/16/14,1/3/15,1/10/15,1/20/15,1/23/15,1/28/15
10041,"BREED, GENEVIEVE",F,"$76,913.00",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,11/28/14,12/9/14,12/16/14,12/28/14,1/7/15,1/15/15,1/20/15,1/28/15
10042,"PRIVITT, JESICA",F,"$76,913.00",HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Community Health Nurse II,DAVID ANDERSON,Filled,11/5/14,11/21/14,12/1/14,12/22/14,1/1/15,1/11/15,1/18/15,1/28/15
10043,"KNOCH, BERNEICE",F,"$69,310.00",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,11/13/14,11/25/14,12/1/14,12/19/14,1/2/15,1/10/15,1/18/15,1/28/15
10044,"OSTBERG, DALLAS",F,"$72,812.00",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,MARIA TAYLOR,Filled,11/22/14,11/30/14,12/7/14,12/31/14,1/6/15,1/13/15,1/17/15,1/28/15
10045,"TOALSON, MEGAN",F,"$72,812.00",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,12/8/14,12/10/14,12/13/14,12/28/14,1/5/15,1/9/15,1/17/15,1/28/15
10046,"NIKOLICH, LEONEL",M,"$33,229.00",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,ROBERT MILLER,Filled,11/22/14,12/10/14,12/14/14,12/28/14,1/5/15,1/12/15,1/24/15,1/27/15
10047,"CARLTON, RAY",M,"$33,229.00",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,11/13/14,11/24/14,12/3/14,12/19/14,1/2/15,1/10/15,1/23/15,1/27/15
10048,"RITCH, FLORENCIO",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,12/3/14,12/13/14,12/16/14,1/1/15,1/12/15,1/17/15,1/22/15,1/27/15
10049,"VANOSTENBRIDGE, BRENDAN",M,"$53,000.00",DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Office Services Coordinator,JAMES JOHNSON,Filled,11/26/14,12/3/14,12/9/14,12/30/14,1/10/15,1/17/15,1/22/15,1/27/15
10050,"LABANOWSKI, QUENTIN",M,"$33,229.00",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,ROBERT MILLER,Filled,11/13/14,11/20/14,11/26/14,12/18/14,12/31/14,1/15/15,1/22/15,1/27/15
10051,"WHEELAN, PENNEY",F,"$82,300.00",HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Supervisory Therapist,MARIA TAYLOR,Filled,11/9/14,11/22/14,11/26/14,12/20/14,12/31/14,1/11/15,1/18/15,1/27/15
10052,"HAZE, ALDO",M,"$39,062.00",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/10/14,11/25/14,12/6/14,12/25/14,1/6/15,1/12/15,1/17/15,1/27/15
10053,"GREIER, ELLIS",M,"$39,062.00",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/14/14,11/20/14,12/4/14,12/22/14,12/29/14,1/4/15,1/15/15,1/27/15
10054,"WINKWORTH, HONG",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/14/14,11/19/14,11/28/14,12/13/14,12/25/14,1/3/15,1/14/15,1/27/15
10055,"MASSAD, ABRAM",M,"$33,229.00",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,ROBERT MILLER,Filled,11/4/14,11/17/14,11/24/14,12/14/14,12/28/14,1/8/15,1/12/15,1/27/15
10056,"OUCHI, HUGH",M,"$50,000.00",LIB,Department of Public Libraries,Technology Management,Fulltime-Regular,Information Technology Technician III,SUSAN HERNANDEZ,Filled,11/16/14,11/23/14,11/28/14,12/14/14,12/21/14,12/30/14,1/12/15,1/27/15
10057,"BESHORE, THUY",F,"$44,080.00",COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/8/14,11/20/14,12/1/14,12/15/14,12/27/14,12/29/14,1/12/15,1/27/15
10058,"GIOIELLI, CASSANDRA",F,"$24,438.60",SHF,Sheriff's Office,Sheriff Domestic Violence,Parttime-Regular,Public Safety Reporting Aide I,THOMAS WHITE,Filled,11/7/14,11/13/14,11/22/14,12/14/14,12/30/14,1/4/15,1/10/15,1/27/15
10059,"PENG, ROOSEVELT",M,"$42,579.00",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,MARIA TAYLOR,Filled,11/14/14,11/17/14,12/4/14,12/30/14,1/6/15,1/14/15,1/23/15,1/26/15
10060,"LOEHMANN, MILLARD",M,"$33,229.00",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,LINDA JONES,Filled,11/16/14,12/1/14,12/8/14,12/25/14,1/6/15,1/17/15,1/22/15,1/26/15
10061,"MASTROGIACOMO, AMBER",F,"$39,062.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,WILLIAM WILSON,Filled,11/19/14,11/24/14,11/28/14,12/20/14,1/1/15,1/12/15,1/22/15,1/26/15
10062,"MUDLOFF, NIKOLE",F,"$42,579.00",HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,DAVID ANDERSON,Filled,11/22/14,11/30/14,12/4/14,12/20/14,1/3/15,1/11/15,1/22/15,1/26/15
10063,"SCHULTHEIS, ANDERSON",M,"$92,534.48",DOT,Department of Transportation,Transit Management Services,Fulltime-Regular,Information Technology Specialist II,BARBARA DAVIS,Filled,11/20/14,12/5/14,12/13/14,12/25/14,1/4/15,1/10/15,1/22/15,1/26/15
10064,"TREVIS, SAM",M,"$64,638.42",OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Investigator III,SUSAN HERNANDEZ,Filled,11/15/14,11/20/14,12/2/14,12/22/14,1/3/15,1/15/15,1/21/15,1/26/15
10065,"MICKENS, LIZETH",F,"$39,062.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,MICHAEL GARCIA,Filled,11/11/14,11/25/14,12/3/14,12/19/14,1/4/15,1/14/15,1/21/15,1/26/15
10066,"SILLETT, ISSAC",M,"$39,062.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,MICHAEL GARCIA,Filled,11/11/14,11/20/14,11/26/14,12/19/14,1/1/15,1/14/15,1/21/15,1/26/15
10067,"PORAMBO, CLEMENTINA",F,"$51,000.00",DOT,Department of Transportation,Transit COS Marketing,Fulltime-Regular,Program Specialist I,LINDA JONES,Filled,11/21/14,12/5/14,12/11/14,12/28/14,1/7/15,1/12/15,1/21/15,1/26/15
10068,"EARLES, TERENCE",M,"$64,743.48",HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Information Technology Specialist III,MARIA TAYLOR,Filled,11/20/14,11/29/14,12/1/14,12/22/14,1/3/15,1/9/15,1/21/15,1/26/15
10069,"SLAGH, AKILAH",F,"$51,000.00",OHR,Office of Human Resources,Employee Benefits,Fulltime-Regular,Administrative Specialist I,SUSAN HERNANDEZ,Filled,11/2/14,11/20/14,11/25/14,12/17/14,12/31/14,1/9/15,1/21/15,1/26/15
10070,"TANNEY, MARQUITTA",F,"$17,288.00",LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Desk Assistant,SUSAN HERNANDEZ,Filled,11/10/14,11/26/14,12/3/14,12/21/14,1/1/15,1/6/15,1/21/15,1/26/15
10071,"ROBITAILLE, SHIRLEE",F,"$71,400.00",DOT,Department of Transportation,Transportation Construction Section,Fulltime-Regular,Construction Representative III,ROBERT MILLER,Filled,10/29/14,11/16/14,11/25/14,12/12/14,12/24/14,1/6/15,1/21/15,1/26/15
10072,"HASSAY, ROLF",M,"$81,829.50",HCA,Department of Housing and Community Affairs,Multi-Family Housing Program,Fulltime-Regular,Senior Planning Specialist,JENNIFER MARTINEZ,Filled,11/8/14,11/15/14,11/24/14,12/14/14,12/22/14,1/3/15,1/21/15,1/26/15
10073,"HUINKER, GARRETT",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/3/14,11/20/14,11/24/14,12/11/14,12/23/14,1/1/15,1/21/15,1/26/15
10074,"SAMAND, MARIETTA",F,"$51,000.00",CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,MARY SMITH,Filled,11/16/14,11/28/14,12/10/14,12/28/14,1/6/15,1/16/15,1/20/15,1/26/15
10075,"PECHACEK, ELENORE",F,"$37,497.00",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,11/22/14,12/3/14,12/8/14,12/26/14,1/4/15,1/16/15,1/20/15,1/26/15
10076,"BELZNER, EMMANUEL",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/20/14,11/29/14,12/5/14,12/22/14,12/31/14,1/7/15,1/20/15,1/26/15
10077,"OSTROVSKAYA, ARACELIS",F,"$39,062.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,WILLIAM WILSON,Filled,11/28/14,12/8/14,12/13/14,1/2/15,1/12/15,1/15/15,1/18/15,1/26/15
10078,"MCSWEENEY, DANILO",M,"$48,450.00",CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,MARY SMITH,Filled,11/16/14,11/24/14,11/27/14,12/18/14,12/31/14,1/11/15,1/18/15,1/26/15
10079,"REMINDER, BRIAN",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/12/14,12/1/14,12/8/14,12/23/14,12/31/14,1/13/15,1/17/15,1/26/15
10080,"LOCKIE, LESLEY",M,"$76,500.00",DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Information Technology Specialist III,PATRICIA WILLIAMS,Filled,11/19/14,11/28/14,12/7/14,12/24/14,12/31/14,1/7/15,1/17/15,1/26/15
10081,"MAREZ, MAXIMO",M,"$27,660.80",DLC,Department of Liquor Control,Fallsgrove,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,11/5/14,11/17/14,11/24/14,12/15/14,12/25/14,1/7/15,1/17/15,1/26/15
10082,"GORODETSKY, EVELYNN",F,"$44,080.00",COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/28/14,11/29/14,12/11/14,12/27/14,1/5/15,1/11/15,1/16/15,1/26/15
10083,"JOZWIAK, MOSE",M,"$39,062.00",DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician II,BARBARA DAVIS,Filled,11/24/14,12/4/14,12/11/14,12/26/14,1/3/15,1/11/15,1/16/15,1/26/15
10084,"SCHEUFELE, MODESTO",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/24/14,12/4/14,12/14/14,12/29/14,1/4/15,1/8/15,1/16/15,1/26/15
10085,"ZEHM, REVA",F,"$39,062.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,WILLIAM WILSON,Filled,11/6/14,11/20/14,12/6/14,12/19/14,1/2/15,1/10/15,1/15/15,1/26/15
10086,"CLORE, HOSEA",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/9/14,11/21/14,11/30/14,12/18/14,1/1/15,1/8/15,1/15/15,1/26/15
10087,"MLINAR, GILBERT",M,"$39,062.00",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,10/31/14,11/17/14,11/24/14,12/11/14,12/25/14,1/5/15,1/15/15,1/26/15
10088,"BULTSMA, LYNDON",M,"$48,450.00",CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,MARY SMITH,Filled,11/2/14,11/13/14,11/23/14,12/16/14,12/24/14,1/3/15,1/15/15,1/26/15
10089,"METTING, ZACHARIAH",M,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/19/14,11/30/14,12/7/14,12/24/14,12/29/14,1/8/15,1/14/15,1/26/15
10090,"DILEO, ZANE",M,"$42,579.00",POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,CHARLES MOORE,Filled,11/14/14,11/16/14,11/23/14,12/13/14,12/27/14,1/3/15,1/12/15,1/26/15
10091,"MCMURDIE, ALISA",F,"$56,100.00",FIN,Department of Finance,Tax Operations,Fulltime-Regular,Accountant/Auditor III,MICHAEL GARCIA,Filled,11/5/14,11/17/14,11/21/14,12/11/14,12/24/14,1/3/15,1/11/15,1/26/15
10092,"ERBSTOESSER, KIRBY",M,"$39,062.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,ELIZABETH RODRIGUEZ,Filled,11/19/14,11/27/14,12/4/14,12/22/14,1/3/15,1/6/15,1/10/15,1/26/15
10093,"UCHIDA, LOLITA",F,"$22,826.07",LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Associate,SUSAN HERNANDEZ,Filled,11/5/14,11/14/14,11/23/14,12/8/14,12/19/14,12/26/14,1/10/15,1/26/15
10094,"TARASI, JOHNATHAN",M,"$39,062.00",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,JENNIFER MARTINEZ,Filled,11/4/14,11/18/14,11/22/14,12/7/14,12/22/14,12/30/14,1/8/15,1/26/15
10095,"VALLERGA, BOBBIE",F,"$44,080.00",COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/2/14,11/16/14,11/24/14,12/18/14,12/28/14,12/31/14,1/6/15,1/26/15
10096,"STOERZINGER, ALLEN",F,"$56,106.00",HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker II,RICHARD THOMAS,Filled,11/20/14,12/8/14,12/12/14,12/28/14,1/8/15,1/13/15,1/21/15,1/24/15
10097,"SCHNEIDMAN, CATHERINE",F,"$51,138.00",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,JENNIFER MARTINEZ,Filled,10/30/14,11/11/14,11/18/14,12/13/14,12/27/14,1/4/15,1/19/15,1/24/15
10098,"LOCANTORE, EARL",M,"$33,229.00",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,BARBARA DAVIS,Filled,11/8/14,11/22/14,11/27/14,12/16/14,1/2/15,1/6/15,1/15/15,1/24/15
10099,"PARKINGTON, WILFREDO",M,"$44,080.00",COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/21/14,12/3/14,12/14/14,12/27/14,1/2/15,1/5/15,1/15/15,1/24/15
10100,"TERMEER, CEDRICK",M,"$45,500.00",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,RICHARD THOMAS,Filled,12/3/14,12/11/14,12/17/14,1/4/15,1/8/15,1/10/15,1/14/15,1/24/15
10101,"BAJDA, STEPHENIE",F,"$47,600.00",HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist I,MARIA TAYLOR,Filled,11/26/14,12/4/14,12/11/14,12/18/14,12/27/14,1/6/15,1/13/15,1/24/15
10102,"LAZZARONI, JAMIE",M,"$39,062.00",DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,JOHN BROWN,Filled,10/24/14,11/15/14,11/21/14,12/19/14,12/27/14,1/7/15,1/12/15,1/24/15
